menu_start_game_0|You prepare yourself to venture forth into a world of deceit and treachery.{***}
mno_introduccion|Prelude{***}
mno_continue|Character Creation{***}
mno_go_back|Go back{***}
menu_start_phase_2|^^It's the early hours of the morning when you reach King's Landing, a bustling city on the eastern coast of Westeros set within the Crownlands. You had made your way here after hearing news of King Robert Baratheon.^ You note the climate is warm with a subtle relaxed atmosphere. Other than the solemn silence around the capital, everything seems like a normal day.^ You roam the Street of Sisters and eye Visenya's Hill and the Great Sept of Baelor in the distance. This place is huge and you remind yourself not to stray too far in fear of getting lost.{***}
mno_town_1|Continue.{***}
menu_start_game_3|Choose your scenario:{***}
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.{***}
mno_go_back_dot|Go back.{***}
menu_reports|Reports Menu^^^^{s1}^{***}
mno_dplmc_show_economic_report|View prosperity report.{***}
mno_spy_report|View Spy reports.{***}
mno_troop_quarters|Troop Quarters.{***}
mno_reset_static_wars|Turn off Static Wars.{***}
mno_lord_relations|List of known lords by relations{***}
mno_courtship_relations|Courtship relations{***}
mno_Companions_overview|Companions overview{***}
mno_view_faction_relations_report|Faction relations reports{***}
mno_view_player_companion_report|Player and companions reports{***}
mno_resume_travelling|Resume travelling.{***}
menu_custom_battle_scene|(NO TRANS){***}
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.{***}
menu_set_up_game|Please choose your preference. This will change the names and consequences of various outcomes in-game accordingly.{***}
mno_yara_greyjoy|I prefer the characters to be named according to the HBO GoT's TV series.{***}
mno_asha_greyjoy|I prefer the characters to be named according to the ASOIAF book's.{***}
menu_set_up_wars|Please choose your scenario: ^^Static wars: Westerosi factions will be locked in diplomacy according to the Wars of the Five Kings. ^^Sandbox: The same as above but all factions (except the Nights Watch) are free to declare war and peace as they choose. Much like normal Warband.{***}
mno_static_wars|Static Wars{***}
mno_normal_wars|Sandbox{***}
menu_start_game_1|Welcome, adventurer to A World of Ice and Fire. Before your thrown into a world of torture and treachery you must create your character.{***}
mno_start|Create Character{***}
mno_quit|Cancel{***}
menu_start_character_1|You were born quite some time ago. Your father was...{***}
mno_start_noble|An impoverished noble.{***}
mno_start_merchant|A travelling merchant.{***}
mno_start_guard|A veteran warrior.{***}
mno_start_forester|A Dothraki.{***}
mno_start_nomad|Free Folk.{***}
mno_start_thief|A thief.{***}
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...{***}
mno_page|A page at a nobleman's court.{***}
mno_apprentice|A craftsman's apprentice.{***}
mno_stockboy|A shop assistant.{***}
mno_urchin|A street urchin.{***}
mno_nomad|A Hunter.{***}
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...{***}
mno_squire|A squire.{***}
mno_lady|A lady-in-waiting.{***}
mno_troubadour|A troubadour.{***}
mno_student|A university student.{***}
mno_peddler|A goods peddler.{***}
mno_craftsman|A smith.{***}
mno_poacher|A game poacher.{***}
menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...{***}
mno_revenge|Personal revenge.{***}
mno_death|The loss of a loved one.{***}
mno_wanderlust|Wanderlust.{***}
mno_disown|Being forced out of your home.{***}
mno_greed|Lust for money and power.{***}
menu_choose_skill|{s13}{***}
mno_begin_adventuring|Become an adventurer and ride to your destiny.{***}
menu_past_life_explanation|{s3}{***}
mno_view_next|{s5}{***}
menu_morale_report|{s1}{***}
menu_courtship_relations|{s1}{***}
menu_lord_relations|{s1}{***}
menu_companion_report|{s7}{s1}{***}
menu_character_report|{s9}{***}
menu_party_size_report|{s1}{***}
menu_faction_relations_report|{s1}{***}
menu_camp|You set up camp. What do you want to do?{***}
mno_camp_action|Take an action.{***}
mno_camp_wait_here|Wait here for some time.{***}
menu_camp_action_rest|Camping allows your men to rest for a while and recover from the hard life of travels. It also allows you to forage, increasing your food supplies. This is particularly helpful when campaigning in enemy territory, where it is difficult to buy supplies.{***}
menu_build_refuge_new|Your men await your orders to start building your settlement. There is enough materials collected so far, and what may be missing can be purchased in nearby villages.^^Total Cost: 5000 silver stags.^Time need: 6 hours.{***}
mno_refuge_here|Ok go ahead.{***}
menu_camp_cheat|Select a cheat:{***}
mno_testing_cheats|Cheats fast use.{***}
mno_camp_cheat_change_weather|Change weather..{***}
menu_cheat_testing_cheats1|Select a cheat:{***}
mno_back_to_camp_menu|Back.{***}
menu_camp_action|Choose an action:{***}
mno_camp_recruit_prisoners|Recruit some of your prisoners to your party.{***}
mno_action_prebattle_custom_divisions|Manage Split Troop Assignments.{***}
mno_action_export_import|Export/import NPCs.{***}
mno_camp_cheat|CHEAT MENU.{***}
mno_jump_to_scene|debug: test scene menu{***}
mno_camp_smoke_food|Smoke some raw food in your inventory.{***}
mno_camp_action_4|Back to camp menu.{***}
menu_camp_recruit_prisoners|You offer your prisoners freedom if they agree to join your ranks as soldiers. {s18}{***}
mno_camp_recruit_prisoners_accept|Take them.{***}
mno_camp_recruit_prisoners_reject|Reject them.{***}
menu_camp_no_prisoners|You have no prisoners to recruit from.{***}
menu_camp_action_read_book|Choose a book to read:{***}
mno_action_read_book_1|{s1}.{***}
mno_action_read_book_2|{s1}.{***}
mno_action_read_book_3|{s1}.{***}
mno_action_read_book_4|{s1}.{***}
mno_action_read_book_5|{s1}.{***}
mno_action_read_book_6|{s1}.{***}
mno_action_read_book_7|{s1}.{***}
menu_camp_action_read_book_start|{s1}{***}
menu_export_import_npcs|Please choose an NPC, then press key C to view and export/import this character.^^You choose {reg0?{s0}:none}.{***}
mno_export_import_back|Go back{***}
mno_export_import_npc1|{s0}{***}
mno_export_import_npc2|{s0}{***}
mno_export_import_npc3|{s0}{***}
mno_export_import_npc4|{s0}{***}
mno_export_import_npc5|{s0}{***}
mno_export_import_npc6|{s0}{***}
mno_export_import_npc7|{s0}{***}
mno_export_import_npc8|{s0}{***}
mno_export_import_npc9|{s0}{***}
mno_export_import_npc10|{s0}{***}
mno_export_import_npc11|{s0}{***}
mno_export_import_npc12|{s0}{***}
mno_export_import_npc13|{s0}{***}
mno_export_import_next|Next page{***}
menu_export_import_npcs_2|Please choose an NPC, then press key C to view and export/import this character.^^You choose {reg0?{s0}:none}.{***}
mno_export_import_prev|Previous page{***}
mno_export_import_npc14|{s0}{***}
mno_export_import_npc15|{s0}{***}
mno_export_import_npc16|{s0}{***}
mno_export_import_npc17|{s0}{***}
mno_export_import_npc18|{s0}{***}
mno_export_import_npc19|{s0}{***}
mno_export_import_npc20|{s0}{***}
mno_export_import_npc21|{s0}{***}
mno_export_import_npc22|{s0}{***}
mno_export_import_npc23|{s0}{***}
mno_export_import_npc24|{s0}{***}
mno_export_import_npc25|{s0}{***}
mno_export_import_npc26|{s0}{***}
menu_retirement_verify|You are at day {reg0}. Your current luck is {reg1}. Are you sure you want to retire?{***}
mno_retire_yes|Yes.{***}
mno_retire_no|No.{***}
menu_end_game|The decision is made, and you resolve to give up your adventurer's life and settle down. You sell off your weapons and armour, gather up all your money, and ride off into the sunset....{***}
mno_end_game_bye|Farewell.{***}
menu_cattle_herd|You encounter a herd of cattle.{***}
mno_cattle_drive_away|Drive the cattle onward.{***}
mno_cattle_stop|Bring the herd to a stop.{***}
mno_cattle_kill|Slaughter some of the animals.{***}
mno_leave|Leave.{***}
menu_cattle_herd_kill|How many animals do you want to slaughter?{***}
mno_cattle_kill_1|One.{***}
mno_cattle_kill_2|Two.{***}
mno_cattle_kill_3|Three.{***}
mno_cattle_kill_4|Four.{***}
mno_cattle_kill_5|Five.{***}
mno_cattle_kill_20|Twenty.{***}
menu_arena_duel_fight|A duel is a very serious thing, especially if it is to the death. Two enter the circle, but only one comes out...^^Both mind and body react to stress and danger. You feel the cold sweat under your armpits, the kind that comes regardless of whether it's hot or not. It's the sweat of the fight, and its presence indicates that you... are ready.{***}
menu_duel_menu|{s1}{s2}{***}
mno_start_fight|Start the duel.{***}
menu_simple_encounter|{s2}^^ You have {reg10} troops ready to fight in your name against their {reg11}.^^{s7}^{s4}^{s15}{***}
mno_change_commander_simple_encounter|Change commander(Current commander: {s7}).{***}
mno_encounter_attack_deployment|Choose who will join you in battle.{***}
mno_encounter_attack_plan|Plan your battle with the enemy.{***}
mno_encounter_attack_do_plan|Enough planning. To battle!{***}
mno_encounter_attack_clear_plan|Re-assess the situation.{***}
mno_encounter_attack_hold|Take the field.{***}
mno_encounter_attack_follow|Lead your troops.{***}
mno_playerambush_attack|Ambush attack!{***}
mno_ambush_attack|Ambush defence!{***}
mno_encounter_attack|{s7} the enemy.{***}
mno_encounter_order_attack|Order your troops to attack without you.{***}
mno_tactical_nuevo|Commander's Options.{***}
mno_encounter_leave|Leave.{***}
mno_encounter_retreat|Pull back, leaving some soldiers behind to cover your retreat.{***}
mno_encounter_surrender|Surrender.{***}
mno_force_presentation|Assess nearby forces.{***}
mno_begin_duel|Begin the duel{***}
menu_encounter_retreat_confirm|As the party member with the highest tactics skill, ({reg2}), {reg3?you devise:{s3} devises} a plan that will allow you and your men to escape unscathed, but you'll have to leave {reg4} soldiers behind to stop the enemy advancing.{***}
mno_leave_behind|OK. The sacrifice of these men will save the rest.{***}
mno_dont_leave_behind|No. We leave no one behind.{***}
menu_encounter_retreat|You tell {reg4} of your troops to hold the enemy while you retreat with the rest of your party.{***}
menu_order_attack_begin|Your soldiers prepare to attack the enemy.{***}
mno_order_attack_begin|Order the attack to begin.{***}
mno_call_back|Call them back.{***}
menu_order_attack_2|{s4}^^Your casualties: {s8}^^Enemy casualties: {s9}{***}
mno_order_attack_continue|Order your soldiers to continue the attack.{***}
mno_order_retreat|Call your soldiers back.{***}
menu_battle_debrief|{s11}^^Your Casualties:{s8}{s10}^^Enemy Casualties:{s9}^^Kill count:{s12}^^{s3}{***}
menu_total_victory|You shouldn't be reading this... {s9}{***}
menu_enemy_slipped_away|{s17}{***}
menu_permanent_damage|{s0}{***}
mno_s0|{s0}{***}
menu_pre_join|You come across a battle between {s2} and {s1}. You decide to...{***}
mno_pre_join_help_attackers|Move in to help the {s2}. ({s21}){***}
mno_pre_join_help_defenders|Rush to the aid of the {s1}. ({s21}){***}
mno_pre_join_leave|Don't get involved.{***}
menu_join_battle|You are helping the {s2} against the {s1}. You have {reg10} troops fit for battle against the enemy's {reg11}. {s4}{***}
mno_change_commander_join_battle|Change commander(Current commander: {s7}).{***}
mno_join_attack_deployment|Choose who will join you in battle.{***}
mno_join_attack_plan|Plan your attack with the enemy.{***}
mno_join_attack_do_plan|Enough planning. To battle!{***}
mno_join_attack_clear_plan|Re-assess the situation.{***}
mno_join_attack_hold|Take the field.{***}
mno_join_attack_follow|Lead your troops.{***}
mno_join_attack|{s7} the enemy.{***}
mno_join_order_attack|Order your troops to attack with your allies while you stay back.{***}
mno_join_leave|Leave.{***}
mno_join_wounded|You are too wounded to fight.{***}
menu_join_order_attack|{s4}^^Your casualties: {s8}^^Allies' casualties: {s9}^^Enemy casualties: {s10}{***}
menu_zendar|You enter the town of Zendar.{***}
mno_zendar_enter| {***}
mno_zendar_enter_door|Door to the town centre.{***}
mno_zendar_tavern| {***}
mno_zendar_tavern_door|Door to the tavern.{***}
mno_zendar_merchant| {***}
mno_zendar_merchant_door|Door to the merchant.{***}
mno_zendar_arena| {***}
mno_zendar_arena_door|Door to the arena.{***}
mno_town_1_leave| {***}
menu_banquete_moral_refuge|Order your men to leave their weapons outside and invite them to your great hall, to sit at your table by rank. The nearest and dearest sit closest to you. Some girls serve meat and mead in large quantities.^^You've spent a small fortune on this feast because your men deserve it. They are the ones who bleed with you, who have helped you conquer your domains. They are your faithful followers.^^The evening progresses. Many men are as drunk as vats. They shout and sing. Some run off to vomit and others fight like gamecocks to attract the attention of a girl. Behind you, a bard sings of your power and deeds.^^You act like a warlord. You are a warlord... a 'shepherd of men.'{***}
mno_banquete_okr|You drink, laugh and shout as they come.{***}
mno_banquete_ok2r|You stay sober, taste the drink, but no more than necessary.{***}
mno_banquete_ok3r|You call your men and give them rings and bracelets (2000 stags).{***}
menu_player_lair_menus|You are at {s10}, your very own settlement, a hidden retreat free from enemies, where you can hide when things go badly, rest from your travels, or save your most personal of treasures. ^^{s11}^^{s13}{***}
mno_banquete_refugemead|My men deserve a banquet at my settlement{***}
mno_guarida_rename|Rename your settlement{***}
mno_lair_interior|Go to the settlement's hall{***}
mno_lair_interior_door|Gate to your settlement{***}
mno_visit_tavern_lair|Go to the tavern{***}
mno_visit_tavern_lair_door|Door to the tavern.{***}
mno_lair_buildings_improve|Talk to your captain{***}
mno_lair_buildings_improve_door|Gate to your settlement{***}
mno_hirelair_staff|Hire staff{***}
mno_lair_inspect|Take a walk around your settlement{***}
mno_lair_inspect_door|Go to the square{***}
mno_mylair_station_troops|Manage the garrison{***}
mno_demoler_lair|Demolish your settlement.{***}
mno_lair_wait|Wait here for some time{***}
mno_see_ships|See the ships{***}
mno_embarkre|Embark{***}
mno_lair_leave|Leave...{***}
mno_lair_leave_door|Leave Area{***}
menu_demoler_lairm|Are you sure you want to demolish your settlement?{***}
mno_demoler_yes|Yes ({reg1} stags).{***}
mno_demoler_no|Return.{***}
menu_salt_mine|You arrive at a small mining camp. The Westerlands are not the largest, most populous, or most fertile part of the realm, but they are the richest. Full of hills and crags, the land is dotted with mines from which pour gold and silver in astonishing quantities.^^^ {s1}{***}
mno_enter|Wander around the camp.{***}
mno_enter_door|Exit to the camp.{***}
mno_work_mines|Volunteer to work in the mines{s1}.{***}
mno_add_prisoners|Leave some prisoners to work in the mines or station some guards here.{***}
menu_slave_labor|{s1}{***}
menu_iron_mine|You arrive at a small iron mining camp.^^^ {s1}{***}
menu_slave_labor2|{s1}{***}
menu_four_ways_inn|You arrive at the Four Ways Inn.{***}
menu_celidon_forest|You arrive at Hollow Hill.{***}
mno_service_recruit|Ask if anyone is willing to join you and your men.{***}
menu_wildling_farm|You arrive at a farm.{***}
menu_wildling_farm_safe|You arrive at a farmstead.{***}
mno_farm_wait|Rest here for some time.{***}
menu_crasters_keep_quest|You arrive at Craster's Keep.{***}
menu_crasters_keep|You arrive at Craster's Keep.{***}
mno_crasters_keep_wait|Rest here for some time.{***}
menu_red_wedding_interior|{s3}{***}
menu_red_wedding_exterior|You arrive at The Twins.{***}
menu_bridge_of_skulls|You finally reach the Bridge of Skulls, aptly named for the bones in the gorge below. ^The path is dangerous and unfortunately any horses had to be left behind. It looks as though the Wildlings have already started the attack. You must hurry!{***}
menu_inn_of_the_kneeling_man|You arrive at the Inn of the Kneeling Man.{***}
mno_inn_wait|Rest here for some time {s1}.{***}
menu_old_stone_bridge|You arrive at the Old Stone Bridge Inn.{***}
menu_illyrios_manse|You arrive at the manse of Illyrio Mopatis.{***}
menu_ruined_castle|You have come across a ruined castle. There are many scattered throughout the known world, most destroyed by the Valyrians using the full might of their dragons in an attempt to eradicate their foes. Long ago this castle was known as Qarthigar and its village Taelon. ^Using the correct tools and knowledge you could possibly rebuild this one. Be careful though, raiders or slavers could be using this place as their own. {***}
mno_choice_1_1|Claim this place for yourself and attempt to rebuild this ruin.{***}
mno_choice_1_2|Leave this place alone.{***}
menu_harbours|{s0}{***}
mno_harbour_scene|Take a walk around the harbour.{***}
menu_shandystone|Shandystone is an abandoned holdfast which was abandoned when the well went dry. It has fluted columns and triple arches.{***}
menu_crasters_keep_old|Craster's Keep sits atop a low hill with an earthen dike around it. There is at least one gate on the southwest side of the compound and a stream runs around the north end of the hill. Inside the dike, there is also a midden heap, pigsty and sheepfold. The keep itself is a daub-and-wattle hall that is long and low, made with logs and roofed with sod and big enough to hold thirty to fifty men at best. The door to the hall is made of two flaps of deer hide. The hall is a single room, with a sleeping loft above reached by a pair of splintery ladders. Only Craster has a chair inside, and all others sit on benches.{***}
menu_queenscrown|Queenscrown is an abandoned tower holdfast. The tower's merlons are painted gold and the remnants of an inn and village can still be seen.{***}
