str_no_string|NO STRING!{***};;;;;;;;;
str_empty_string| {***};;;;;;;;;
str_yes|Yes.{***};;;;;;;;;
str_no|No.{***};;;;;;;;;
str_blank_string| {***};;;;;;;;;
str_noone|no one{***};;;;;;;;;
str_s50_and_s51|{s50} and {s51}{***};;;;;;;;;
str_s52_and_s51|{s52} and {s51}{***};;;;;;;;;
str_s5_s_party|{s5}'s Party{***};;;;;;;;;
str_given_by_s1_at_s2|Given by {s1} at {s2}{***};;;;;;;;;
str_given_by_s1_in_wilderness|Given by {s1} whilst in the field{***};;;;;;;;;
str_s7_raiders|{s7} Raiders{***};;;;;;;;;
str_bandits_eliminated_by_another|The troublesome bandits have been eliminated by another party.{***};;;;;;;;;
str_msg_battle_won|Battle won, your foes lie slaughtered on the field! (Press tab key to leave){***};;;;;;;;;
str_tutorial_map1|If you have problems with crashing then try turning off the scenic menu in camp>options. This mod defaults to hardcore mode, if you are finding it difficult then go to camp>options and change your settings. This mod is best played with HDR turned off.{***};;;;;;;;;
str_randomize|Randomize{***};;;;;;;;;
str_charge|Charge{***};;;;;;;;;
str_color|Colour{***};;;;;;;;;
str_flip_horizontal|Flip Horizontal{***};;;;;;;;;
str_flip_vertical|Flip Vertical{***};;;;;;;;;
str_hold_fire|Hold Fire{***};;;;;;;;;
str_blunt_hold_fire|Blunt / Hold Fire{***};;;;;;;;;
str_tutorial_ammo_refilled|Ammo refilled.{***};;;;;;;;;
str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to to the menu where you can retry this tutorial.{***};;;;;;;;;
str_finished|(Finished){***};;;;;;;;;
str_delivered_damage|Delivered {reg60} damage.{***};;;;;;;;;
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}{***};;;;;;;;;
str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).{***};;;;;;;;;
str_cant_use_inventory_now|You can't access your inventory now.{***};;;;;;;;;
str_cant_use_inventory_arena|You can't access your inventory in the arena.{***};;;;;;;;;
str_cant_use_inventory_disguised|Whilst disguised you've left your possessions back at your camp.{***};;;;;;;;;
str_cant_use_inventory_tutorial|You can't access your inventory in the training camp.{***};;;;;;;;;
str_1_silver_stag|1 silver stag{***};;;;;;;;;
str_reg1_silver_stags|{reg1} Silver stags{***};;;;;;;;;
str_january_reg1_reg2|{reg1} of the First Turn {reg2}{***};;;;;;;;;
str_february_reg1_reg2|{reg1} of the Second Turn {reg2}{***};;;;;;;;;
str_march_reg1_reg2|{reg1} of the Third Turn {reg2}{***};;;;;;;;;
str_april_reg1_reg2|{reg1} of the Fourth Turn {reg2}{***};;;;;;;;;
str_may_reg1_reg2|{reg1} of the Fifth Turn {reg2}{***};;;;;;;;;
str_june_reg1_reg2|{reg1} of the Sixth Turn {reg2}{***};;;;;;;;;
str_july_reg1_reg2|{reg1} of the Seventh Turn {reg2}{***};;;;;;;;;
str_august_reg1_reg2|{reg1} of the Eighth Turn {reg2}{***};;;;;;;;;
str_september_reg1_reg2|{reg1} of the Ninth Turn {reg2}{***};;;;;;;;;
str_october_reg1_reg2|{reg1} of the Tenth Turn {reg2}{***};;;;;;;;;
str_november_reg1_reg2|{reg1} of the Eleventh Turn {reg2}{***};;;;;;;;;
str_december_reg1_reg2|{reg1} of the Twelfth Turn {reg2}{***};;;;;;;;;
str_yara|Captain Yara Greyjoy{***};;;;;;;;;
str_robin|Robin of the Vale{***};;;;;;;;;
str_asha|Captain Asha Greyjoy{***};;;;;;;;;
str_robert|Robert of the Vale{***};;;;;;;;;
str_town_nighttime| It is late at night and most folk will be sleeping.{***};;;;;;;;;
str_door_locked|The door is locked.{***};;;;;;;;;
str_castle_is_abondened|It seems the soldiers have abandoned this castle.{***};;;;;;;;;
str_town_is_abondened|The town has no garrison defending it.{***};;;;;;;;;
str_place_is_occupied_by_player|This place is held by your own troops.{***};;;;;;;;;
str_place_is_occupied_by_enemy|This place is held by hostile troops.{***};;;;;;;;;
str_place_is_occupied_by_friendly|This place is held by friendly troops.{***};;;;;;;;;
str_do_you_want_to_retreat|Are you sure you want to retreat?{***};;;;;;;;;
