qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Distance de tir : {s1} mètres.
qstr_Gate_was_destroyed.|La porte a été détruite.
qstr_drawbridge_was_destr|Le pont-levis a été détruit.
qstr_Battering_ram_was_de|Le bélier a été détruit.
qstr_Portcullis_was_destr|La Herse a été détruite.
qstr_Draw_bridge_was_dest|Le pont-levis a été détruit.
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_A_World_of_Ice_and_F|A World of Ice and Fire 3.5 (DEV BUILD 3)
qstr_Next_Page|Page suivante
qstr_Game_Rules:^|Règles du jeu :^
qstr_0|0
qstr_Show_game_rules|Afficher les règles du jeu
qstr_Continue...|Continuer...
qstr_Candidate_#1:_{s1}|Candidat #1 : {s1}
qstr_Candidate_#2:_{s1}|Candidat #2 : {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} du {s4} souhaite sélectionner un nouveau maréchal et invite ses vassaux à un conseil. {s1} et {s2} sont les candidats probables.
qstr_Who_do_you_wish_to_s|Qui voulez-vous soutenir ?
qstr_{s1}_gives_his_suppo|{s1} vote pour {s2}.
qstr_Number_of_Supporters|Nombre de partisans : {reg0}
qstr_{s2}_has_heard_his_v|{s2} a écouté le conseil de ses vassaux. Il nomme {s1} maréchal du {s3}.
qstr_Done|Quitter
qstr_Select_your_domestic|Choisir sa politique intérieure
qstr_Centralization:|Centralisation :
qstr_Aristocracy:|Aristocratie :
qstr_Serfdom:|Servage :
qstr_Troop_quality:|Qualité troupes :
qstr_Mercantile:|Marchande:
qstr_High_centralization_|Une centralisation importante réduira l'inefficacité des impôts pour le monarque et augmentera pour les vassaux. Interfére les relations monarque/vassaux.
qstr_High_aristocracy_wil|La haute aristocratie permettra d'améliorer les relations monarque/vassaux, + d'armées pour les vassaux mais cela diminuera le commerce.
qstr_High_serfdom_reduces|Un servage important réduira l'inefficacité des impôts pour le monarque et ses vassaux et les vassaux peuvent entretenir une armée plus grande mais avec un moral en baisse.
